word,l0,l1,l2,l3,l4,letters,entropy
aahed,a,a,h,e,d,"{'h', 'a', 'e', 'd'}",0.000932929046430345
aalii,a,a,l,i,i,"{'a', 'i', 'l'}",0.000932929046430345
aapas,a,a,p,a,s,"{'a', 's', 'p'}",0.000932929046430345
aargh,a,a,r,g,h,"{'h', 'a', 'g', 'r'}",0.000932929046430345
aarti,a,a,r,t,i,"{'a', 'i', 't', 'r'}",0.000932929046430345
abaca,a,b,a,c,a,"{'b', 'a', 'c'}",0.000932929046430345
abaci,a,b,a,c,i,"{'b', 'a', 'i', 'c'}",0.000932929046430345
aback,a,b,a,c,k,"{'b', 'a', 'k', 'c'}",0.000932929046430345
abacs,a,b,a,c,s,"{'b', 'a', 's', 'c'}",0.000932929046430345
abaft,a,b,a,f,t,"{'b', 'a', 'f', 't'}",0.000932929046430345
abaht,a,b,a,h,t,"{'b', 'a', 'h', 't'}",0.000932929046430345
abaka,a,b,a,k,a,"{'b', 'a', 'k'}",0.000932929046430345
abamp,a,b,a,m,p,"{'b', 'a', 'p', 'm'}",0.000932929046430345
aband,a,b,a,n,d,"{'b', 'a', 'n', 'd'}",0.000932929046430345
abase,a,b,a,s,e,"{'b', 'a', 's', 'e'}",0.0017312232897640897
abash,a,b,a,s,h,"{'b', 'a', 'h', 's'}",0.000932929046430345
abask,a,b,a,s,k,"{'b', 'a', 'k', 's'}",0.000932929046430345
abate,a,b,a,t,e,"{'b', 'a', 'e', 't'}",0.000932929046430345
abaya,a,b,a,y,a,"{'b', 'a', 'y'}",0.000932929046430345
abbas,a,b,b,a,s,"{'b', 'a', 's'}",0.000932929046430345
abbed,a,b,b,e,d,"{'b', 'a', 'e', 'd'}",0.0017312232897640897
abbes,a,b,b,e,s,"{'b', 'a', 's', 'e'}",0.0031931769733349784
abbey,a,b,b,e,y,"{'b', 'a', 'e', 'y'}",0.0017312232897640897
abbot,a,b,b,o,t,"{'b', 'a', 't', 'o'}",0.000932929046430345
abcee,a,b,c,e,e,"{'b', 'a', 'e', 'c'}",0.000932929046430345
abeam,a,b,e,a,m,"{'b', 'a', 'e', 'm'}",0.0017312232897640897
abear,a,b,e,a,r,"{'b', 'a', 'e', 'r'}",0.000932929046430345
abeat,a,b,e,a,t,"{'b', 'a', 'e', 't'}",0.000932929046430345
abeer,a,b,e,e,r,"{'b', 'a', 'e', 'r'}",0.0017312232897640897
abele,a,b,e,l,e,"{'b', 'a', 'e', 'l'}",0.000932929046430345
abeng,a,b,e,n,g,"{'n', 'e', 'a', 'b', 'g'}",0.000932929046430345
abers,a,b,e,r,s,"{'s', 'e', 'a', 'b', 'r'}",0.000932929046430345
abets,a,b,e,t,s,"{'s', 'e', 't', 'a', 'b'}",0.0017312232897640897
abeys,a,b,e,y,s,"{'s', 'e', 'a', 'b', 'y'}",0.000932929046430345
abhor,a,b,h,o,r,"{'h', 'o', 'a', 'b', 'r'}",0.000932929046430345
abide,a,b,i,d,e,"{'i', 'd', 'e', 'a', 'b'}",0.0017312232897640897
abies,a,b,i,e,s,"{'i', 's', 'e', 'a', 'b'}",0.0031931769733349784
abius,a,b,i,u,s,"{'i', 's', 'a', 'u', 'b'}",0.000932929046430345
abjad,a,b,j,a,d,"{'b', 'a', 'j', 'd'}",0.000932929046430345
abjud,a,b,j,u,d,"{'d', 'j', 'a', 'u', 'b'}",0.000932929046430345
abled,a,b,l,e,d,"{'d', 'e', 'a', 'l', 'b'}",0.0017312232897640897
abler,a,b,l,e,r,"{'e', 'a', 'l', 'b', 'r'}",0.0017312232897640897
ables,a,b,l,e,s,"{'s', 'e', 'a', 'l', 'b'}",0.0031931769733349784
ablet,a,b,l,e,t,"{'e', 't', 'a', 'l', 'b'}",0.0017312232897640897
ablow,a,b,l,o,w,"{'w', 'o', 'a', 'l', 'b'}",0.000932929046430345
abmho,a,b,m,h,o,"{'h', 'm', 'o', 'a', 'b'}",0.000932929046430345
abnet,a,b,n,e,t,"{'n', 'e', 't', 'a', 'b'}",0.0017312232897640897
abode,a,b,o,d,e,"{'d', 'e', 'o', 'a', 'b'}",0.0017312232897640897
abohm,a,b,o,h,m,"{'h', 'm', 'o', 'a', 'b'}",0.000932929046430345
aboil,a,b,o,i,l,"{'i', 'o', 'a', 'l', 'b'}",0.000932929046430345
aboma,a,b,o,m,a,"{'b', 'a', 'm', 'o'}",0.000932929046430345
aboon,a,b,o,o,n,"{'b', 'a', 'n', 'o'}",0.000932929046430345
